epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,99.057,1.47213,2.52803,1.50563,1.21699,0,0.39666,0.38928,0.27686,0.09958,0.17337,0.11556,0.05669,0.01447,2.07627,16.6872,4.10097,1.52245,0,0.00019759,0.00019759,0.0804386
2,164.336,1.41371,2.25231,1.19623,1.16728,0,0.44929,0.43084,0.39174,0.16188,0.28562,0.26146,0.15874,0.04243,2.08186,9.08506,1.79255,1.45816,0,0.000397547,0.000397547,0.0606385
3,233.107,1.47241,2.30351,1.22308,1.19416,0,0.49482,0.46287,0.44379,0.1891,0.4781,0.39269,0.38339,0.14101,2.04721,3.38811,1.54672,1.42249,0,0.000597331,0.000597331,0.0408383
4,300.344,1.46077,2.23184,1.18908,1.1918,0,0.43758,0.47127,0.35416,0.15338,0.42294,0.42995,0.31853,0.11715,1.95369,3.15845,1.66922,1.40487,0,0.000796811,0.000796811,0.0210378
5,365.695,1.44748,2.22233,1.17253,1.18158,0,0.53748,0.48013,0.47811,0.20931,0.52909,0.46675,0.45744,0.17207,1.95976,3.1759,1.68329,1.35006,0,0.000995859,0.000995859,0.00123682
6,434.786,1.44739,2.21312,1.14933,1.17758,0,0.50112,0.48483,0.44758,0.2014,0.47639,0.47063,0.42074,0.1631,1.96783,3.10046,1.56958,1.37655,0,0.000997288,0.000997288,0.000997288
7,499.799,1.42429,2.15202,1.12665,1.1737,0,0.47025,0.39313,0.38647,0.15788,0.45587,0.37185,0.35894,0.12869,2.05724,3.23653,1.73332,1.45579,0,0.000996097,0.000996097,0.000996097
8,565.219,1.37355,2.1344,1.09247,1.15066,0,0.49626,0.39703,0.38016,0.15652,0.54101,0.36281,0.36805,0.12557,2.0089,3.15455,1.78604,1.42785,0,0.00099469,0.00099469,0.00099469
9,632.897,1.38445,2.11749,1.08755,1.1531,0,0.55023,0.52046,0.50193,0.22499,0.54639,0.50291,0.47516,0.18657,1.94205,3.13218,1.54081,1.3437,0,0.000993068,0.000993068,0.000993068
10,701.631,1.36988,2.08983,1.05185,1.14116,0,0.53298,0.44997,0.44883,0.20264,0.57006,0.41446,0.42727,0.16817,1.97451,2.99002,1.52423,1.42338,0,0.000991232,0.000991232,0.000991232
11,767.993,1.36633,2.09282,1.05274,1.13806,0,0.52605,0.47837,0.48443,0.21986,0.53046,0.45707,0.46565,0.18028,1.96782,3.013,1.44593,1.37896,0,0.000989183,0.000989183,0.000989183
12,835.116,1.35651,2.07508,1.01875,1.13447,0,0.54755,0.48999,0.49121,0.20985,0.52722,0.47515,0.45717,0.1682,1.94505,3.14842,1.46853,1.37368,0,0.000986922,0.000986922,0.000986922
13,903.999,1.33584,2.06551,1.02127,1.12719,0,0.54307,0.4887,0.47479,0.20584,0.53755,0.46675,0.4575,0.16766,1.99037,3.22268,1.43087,1.37241,0,0.000984449,0.000984449,0.000984449
14,969.061,1.31311,2.01277,0.98678,1.12247,0,0.57929,0.53513,0.53365,0.23844,0.57335,0.50872,0.50007,0.19292,1.89316,2.99751,1.47848,1.33033,0,0.000981765,0.000981765,0.000981765
15,1036.39,1.32847,2.03488,0.98973,1.10883,0,0.52912,0.44903,0.44254,0.20015,0.52776,0.42673,0.42594,0.16334,1.93927,3.19366,1.4841,1.38847,0,0.000978873,0.000978873,0.000978873
16,1101.32,1.30076,2.01857,0.96843,1.11371,0,0.57552,0.54531,0.53736,0.23352,0.58569,0.52356,0.50911,0.19278,1.94595,3.00671,1.32145,1.34922,0,0.000975773,0.000975773,0.000975773
17,1164.54,1.30737,1.99575,0.96679,1.11094,0,0.58448,0.52487,0.51319,0.23456,0.5883,0.49258,0.49417,0.19286,1.92599,3.10598,1.3756,1.3612,0,0.000972466,0.000972466,0.000972466
18,1228.21,1.28208,1.95245,0.93026,1.09534,0,0.53945,0.50484,0.4825,0.22763,0.53253,0.48354,0.46474,0.18395,1.89128,2.9423,1.41495,1.32759,0,0.000968955,0.000968955,0.000968955
19,1291.6,1.27085,1.94581,0.91827,1.09401,0,0.55229,0.49694,0.4817,0.22973,0.55489,0.46159,0.4644,0.17716,1.89971,2.99347,1.35143,1.3386,0,0.000965239,0.000965239,0.000965239
20,1355.15,1.27841,1.9492,0.91656,1.09029,0,0.58981,0.5184,0.53452,0.23555,0.60603,0.49516,0.52025,0.19816,1.9059,3.06979,1.328,1.32008,0,0.000961322,0.000961322,0.000961322
21,1420.79,1.26934,1.93877,0.92317,1.08852,0,0.53816,0.47966,0.47212,0.22408,0.54758,0.44609,0.4538,0.18483,1.88487,2.98987,1.47746,1.32265,0,0.000957205,0.000957205,0.000957205
22,1484.68,1.26214,1.93218,0.90876,1.09242,0,0.5617,0.5042,0.50617,0.22132,0.57732,0.50807,0.52219,0.20046,1.97262,2.95734,1.35365,1.3631,0,0.000952889,0.000952889,0.000952889
23,1545.9,1.23169,1.88432,0.88092,1.07541,0,0.56403,0.48741,0.49403,0.22106,0.55356,0.45642,0.45584,0.16989,1.91348,3.12967,1.42748,1.36,0,0.000948377,0.000948377,0.000948377
24,1610.43,1.24474,1.88678,0.88396,1.08343,0,0.59805,0.48026,0.516,0.24157,0.60363,0.45836,0.48925,0.1902,1.86824,3.09375,1.32591,1.31555,0,0.000943671,0.000943671,0.000943671
25,1675.41,1.23426,1.89297,0.8839,1.07045,0,0.59734,0.50872,0.53308,0.23499,0.57362,0.50549,0.51595,0.19377,1.85953,2.88095,1.34742,1.32404,0,0.000938772,0.000938772,0.000938772
26,1739.32,1.21603,1.86956,0.85345,1.05923,0,0.58668,0.53423,0.53418,0.2491,0.57498,0.51969,0.50707,0.20273,1.85674,2.89882,1.29699,1.32169,0,0.000933683,0.000933683,0.000933683
27,1805.45,1.22665,1.87979,0.85,1.07124,0,0.5868,0.51646,0.5202,0.23194,0.58498,0.49593,0.50138,0.18691,1.92234,3.24604,1.28363,1.34374,0,0.000928405,0.000928405,0.000928405
