epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,148.198,0.8325,1.73463,1.2137,1.36282,0,0.45592,0.42233,0.32631,0.18375,0.0102,0.00971,0.00018,4e-05,1.04467,6.82147,25.6698,1.9688,0,0.000199257,0.000199257,0.0802736
2,283.668,0.91473,1.70022,1.08545,1.40889,0,0.26076,0.18493,0.12821,0.05714,0.27467,0.19417,0.13538,0.0613,2.14652,1.5547,10.4966,2.47268,0,0.000399213,0.000399213,0.0604736
3,417.781,0.91671,1.69116,1.12066,1.42337,0,0.77467,0.71765,0.78727,0.55616,0.76447,0.70388,0.77125,0.5395,0.8041,1.06906,4.18629,1.57665,0,0.000598996,0.000598996,0.0406733
4,552.285,0.92817,1.67805,1.06263,1.42016,0,0.66385,0.74775,0.73768,0.50611,0.66543,0.7767,0.73505,0.42754,0.91924,1.43718,9.72237,1.74874,0,0.000798476,0.000798476,0.0208728
5,684.714,0.88527,1.573,1.01668,1.38983,0,0.93223,0.80125,0.8946,0.6116,0.9153,0.78686,0.8577,0.49698,0.97018,1.06539,2.13025,1.85392,0,0.000997522,0.000997522,0.00107187
6,819.04,0.79906,1.42318,0.924,1.32623,0,0.88766,0.76699,0.84046,0.64287,0.88205,0.76214,0.82629,0.62192,0.65081,0.82333,3.80849,1.37543,0,0.000997288,0.000997288,0.000997288
7,952.605,0.78958,1.41294,0.90863,1.3243,0,0.8567,0.81261,0.89303,0.69249,0.84188,0.79612,0.84945,0.64116,0.76015,0.83092,2.57528,1.49501,0,0.000996097,0.000996097,0.000996097
8,1086.45,0.77831,1.36305,0.86983,1.31016,0,0.80237,0.74892,0.83101,0.57247,0.78465,0.74285,0.82236,0.62206,0.74339,0.6573,0.93964,1.49238,0,0.00099469,0.00099469,0.00099469
9,1218.49,0.74575,1.32122,0.84305,1.28879,0,0.87223,0.7953,0.83634,0.65991,0.87452,0.77816,0.83751,0.68769,0.61287,0.60709,3.10154,1.31353,0,0.000993068,0.000993068,0.000993068
10,1351.42,0.73196,1.34075,0.79438,1.28485,0,0.90441,0.8301,0.9119,0.71922,0.91784,0.80583,0.89963,0.7472,0.55823,0.5837,0.59615,1.22567,0,0.000991232,0.000991232,0.000991232
11,1483.05,0.71504,1.27394,0.7644,1.26829,0,0.90697,0.80452,0.90294,0.7199,0.89029,0.79612,0.87807,0.71628,0.56045,0.66323,0.51113,1.241,0,0.000989183,0.000989183,0.000989183
12,1614.41,0.70002,1.3472,0.74437,1.2576,0,0.93054,0.84466,0.92032,0.74308,0.92901,0.83981,0.90365,0.7458,0.58632,0.57981,1.02742,1.23434,0,0.000986922,0.000986922,0.000986922
13,1747.66,0.69047,1.29063,0.75686,1.25985,0,0.8656,0.86893,0.88727,0.6885,0.85593,0.85922,0.86752,0.73277,0.60255,0.56743,0.89349,1.26157,0,0.000984449,0.000984449,0.000984449
14,1879.6,0.69585,1.28541,0.74858,1.2462,0,0.86449,0.86715,0.88188,0.68178,0.85481,0.85744,0.85392,0.68857,0.59403,0.63393,1.44551,1.35006,0,0.000981765,0.000981765,0.000981765
