epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,104.491,0.79248,1.6837,1.23507,1.32427,0,0.50382,0.28097,0.35432,0.19473,0.02503,0.01942,0.00858,0.00242,1.86458,16.9823,3.32194,2.40864,0,0.000199257,0.000199257,0.0802736
2,188.669,0.8382,1.54147,0.99662,1.35648,0,0.75932,0.69903,0.77832,0.5969,0.64864,0.4929,0.47324,0.13689,0.73471,2.35911,3.39422,1.53687,0,0.000399213,0.000399213,0.0604736
3,272.588,0.82506,1.49499,0.99278,1.34599,0,0.76669,0.76571,0.81547,0.56005,0.77621,0.77454,0.81621,0.58556,0.96961,0.72191,1.10475,1.8874,0,0.000598996,0.000598996,0.0406733
4,359.268,0.83116,1.49456,0.93904,1.33622,0,0.52691,0.59709,0.53719,0.30775,0.53286,0.61165,0.54018,0.32132,0.99047,0.93312,7.41701,1.61685,0,0.000798476,0.000798476,0.0208728
5,442.006,0.81115,1.42091,0.89431,1.32866,0,0.88248,0.80199,0.86697,0.66934,0.82932,0.75479,0.77577,0.36202,0.61479,1.40519,0.82048,1.34373,0,0.000997522,0.000997522,0.00107187
6,524.101,0.76381,1.32287,0.83937,1.28959,0,0.929,0.82524,0.89871,0.6969,0.91261,0.81068,0.86892,0.69752,0.66148,0.69545,0.75537,1.44303,0,0.000997288,0.000997288,0.000997288
7,609.313,0.76394,1.29927,0.82963,1.30065,0,0.87725,0.84951,0.89478,0.68473,0.86172,0.83495,0.87504,0.71037,0.64301,0.63995,0.70745,1.38705,0,0.000996097,0.000996097,0.000996097
8,694.683,0.73633,1.25406,0.79167,1.27691,0,0.88799,0.76699,0.87285,0.58913,0.87355,0.74757,0.83245,0.47912,0.83562,1.05411,2.72449,1.53892,0,0.00099469,0.00099469,0.00099469
9,776.619,0.72462,1.27089,0.78755,1.27485,0,0.91903,0.82643,0.90052,0.74495,0.87752,0.85922,0.89888,0.77856,0.51979,0.55768,0.54707,1.18523,0,0.000993068,0.000993068,0.000993068
10,861.525,0.72171,1.26492,0.76759,1.2721,0,0.90485,0.79126,0.89671,0.74648,0.89434,0.78069,0.88168,0.72623,0.54387,0.59245,2.2457,1.22975,0,0.000991232,0.000991232,0.000991232
11,943.858,0.69387,1.21379,0.73247,1.24131,0,0.93158,0.82039,0.91843,0.74029,0.92607,0.81553,0.90202,0.75728,0.58676,0.60463,0.57405,1.26917,0,0.000989183,0.000989183,0.000989183
12,1029.5,0.69664,1.2665,0.72966,1.25125,0,0.89926,0.88835,0.92799,0.74851,0.89435,0.8835,0.9223,0.78651,0.55266,0.50852,0.53683,1.22047,0,0.000986922,0.000986922,0.000986922
13,1114.8,0.66958,1.21225,0.70978,1.23331,0,0.9046,0.82855,0.89744,0.72221,0.89417,0.82026,0.88534,0.7479,0.60261,0.56887,0.83141,1.28975,0,0.000984449,0.000984449,0.000984449
