epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,122.834,0.88872,1.96231,2.45378,1.31797,0,0.16963,0.23648,0.12573,0.07043,0.18794,0.22326,0.11613,0.06117,1.32268,6.43928,2.99354,1.85447,0,0.000198639,0.000198639,0.0803347
2,214.002,0.86866,1.67602,1.97753,1.29055,0,0.20369,0.25448,0.09374,0.04617,0.1708,0.09837,0.01755,0.0075,1.47086,8.79283,3.74043,2.06661,0,0.000398596,0.000398596,0.0605347
3,301.645,0.91218,1.73098,1.96965,1.31894,0,0.32614,0.33675,0.23202,0.13004,0.30764,0.26524,0.18703,0.0849,1.31307,4.06932,2.61441,1.81346,0,0.00059838,0.00059838,0.0407344
4,389.17,0.9135,1.69876,1.92093,1.31906,0,0.80895,0.1372,0.26549,0.15342,0.74709,0.09475,0.1709,0.07229,1.35893,4.66507,2.73517,1.88712,0,0.000797859,0.000797859,0.0209339
5,476.424,0.94034,1.71584,1.91196,1.33512,0,0.39977,0.39965,0.34883,0.23852,0.39131,0.38997,0.33735,0.23408,1.14596,2.36001,2.29489,1.61598,0,0.000996906,0.000996906,0.00113296
6,567.062,0.90063,1.65893,1.87423,1.3223,0,0.42034,0.31651,0.28658,0.19131,0.40722,0.32666,0.28449,0.19125,1.13767,2.51069,2.50173,1.6378,0,0.000997288,0.000997288,0.000997288
7,654.093,0.88327,1.61276,1.8147,1.31093,0,0.47003,0.39169,0.40788,0.27735,0.46317,0.39089,0.40808,0.29388,1.09213,2.36368,2.12536,1.55419,0,0.000996097,0.000996097,0.000996097
8,743.7,0.83677,1.57643,1.73873,1.2752,0,0.44854,0.4515,0.40668,0.28534,0.44159,0.44611,0.40262,0.30316,1.09554,2.07938,2.01313,1.56576,0,0.00099469,0.00099469,0.00099469
9,832.425,0.82353,1.52323,1.72103,1.26874,0,0.38745,0.38222,0.34801,0.24972,0.50405,0.33463,0.3531,0.26632,1.03995,1.96198,2.19587,1.48788,0,0.000993068,0.000993068,0.000993068
10,918.938,0.81356,1.50188,1.68208,1.26855,0,0.49165,0.41844,0.41155,0.30244,0.48789,0.41026,0.41004,0.31156,1.01086,1.98084,1.8195,1.4762,0,0.000991232,0.000991232,0.000991232
11,1003.9,0.78556,1.49839,1.63131,1.24184,0,0.36111,0.47429,0.39452,0.29213,0.38017,0.47777,0.39739,0.3091,0.9193,2.05092,1.9595,1.41179,0,0.000989183,0.000989183,0.000989183
12,1091.1,0.80035,1.43924,1.62039,1.25386,0,0.46377,0.39734,0.38944,0.29057,0.45295,0.38915,0.38605,0.30317,1.01201,1.91185,1.97185,1.46643,0,0.000986922,0.000986922,0.000986922
13,1177.76,0.77556,1.45161,1.62512,1.24486,0,0.54651,0.45444,0.48887,0.36002,0.53725,0.44853,0.47828,0.36392,0.98013,2.07288,1.78213,1.44768,0,0.000984449,0.000984449,0.000984449
14,1263.34,0.77063,1.44794,1.5972,1.24007,0,0.51978,0.36927,0.41376,0.30552,0.51854,0.37937,0.41645,0.31803,0.94195,1.97189,1.98542,1.40526,0,0.000981765,0.000981765,0.000981765
15,1347.76,0.75458,1.38767,1.53173,1.22646,0,0.54909,0.47266,0.48881,0.36686,0.55738,0.46608,0.48563,0.36104,0.90431,1.92917,1.76025,1.38685,0,0.000978873,0.000978873,0.000978873
16,1434.21,0.7464,1.40562,1.54601,1.22061,0,0.42109,0.45522,0.43536,0.33032,0.41616,0.45876,0.43203,0.33572,0.93145,1.93571,1.82772,1.39788,0,0.000975773,0.000975773,0.000975773
17,1518.41,0.74537,1.39245,1.53763,1.23187,0,0.41835,0.52248,0.48487,0.35599,0.41301,0.51693,0.47549,0.37223,0.92979,1.90202,1.668,1.43943,0,0.000972466,0.000972466,0.000972466
18,1604.51,0.74201,1.38554,1.50481,1.21927,0,0.52308,0.46459,0.49655,0.34365,0.50335,0.46491,0.48655,0.37211,0.91895,1.96775,1.64699,1.39421,0,0.000968955,0.000968955,0.000968955
19,1692.6,0.72869,1.37516,1.46643,1.20411,0,0.53344,0.45643,0.49699,0.3622,0.53705,0.47135,0.48594,0.3564,0.87472,1.9732,1.67935,1.35135,0,0.000965239,0.000965239,0.000965239
20,1779.89,0.72142,1.36078,1.48348,1.20263,0,0.5775,0.42796,0.50323,0.36801,0.58114,0.42264,0.49391,0.3725,0.88289,1.78986,1.66854,1.36279,0,0.000961322,0.000961322,0.000961322
21,1869.63,0.70378,1.30156,1.47274,1.18596,0,0.55535,0.45752,0.50459,0.36539,0.53939,0.44085,0.48737,0.37691,0.9406,1.93226,1.70443,1.42044,0,0.000957205,0.000957205,0.000957205
22,1956.38,0.70367,1.33028,1.44128,1.19786,0,0.4931,0.45538,0.45126,0.3461,0.48586,0.44696,0.44347,0.34521,0.90828,1.94514,1.79984,1.3706,0,0.000952889,0.000952889,0.000952889
23,2042.06,0.69033,1.32025,1.42983,1.18353,0,0.56581,0.47001,0.52124,0.3948,0.5591,0.46193,0.509,0.40558,0.86532,1.80596,1.64907,1.35159,0,0.000948377,0.000948377,0.000948377
24,2130.21,0.68912,1.28835,1.40114,1.1797,0,0.51887,0.52458,0.51869,0.39438,0.5289,0.52592,0.51429,0.40731,0.84496,1.74404,1.55381,1.32264,0,0.000943671,0.000943671,0.000943671
25,2218.01,0.68865,1.25092,1.37675,1.18187,0,0.51377,0.53306,0.49981,0.37379,0.506,0.52444,0.49114,0.39121,0.87494,1.74769,1.57022,1.3587,0,0.000938772,0.000938772,0.000938772
26,2302.12,0.67032,1.24067,1.38164,1.16358,0,0.50538,0.48957,0.50807,0.36652,0.56027,0.45964,0.51208,0.39286,0.91248,1.75152,1.65629,1.39247,0,0.000933683,0.000933683,0.000933683
27,2389.24,0.67552,1.26603,1.37233,1.1746,0,0.68674,0.44853,0.52504,0.37559,0.68251,0.43584,0.51668,0.40002,0.90079,1.73204,1.58978,1.36848,0,0.000928405,0.000928405,0.000928405
28,2475.54,0.67839,1.27617,1.37368,1.17559,0,0.47379,0.50284,0.49268,0.36216,0.52951,0.462,0.497,0.37685,0.90008,1.70909,1.55932,1.36511,0,0.000922942,0.000922942,0.000922942
29,2562.35,0.67382,1.24957,1.34052,1.16457,0,0.56409,0.46235,0.50018,0.38311,0.55582,0.45717,0.49028,0.39592,0.83286,1.62091,1.6301,1.30439,0,0.000917296,0.000917296,0.000917296
30,2647.75,0.65864,1.24424,1.36523,1.16053,0,0.48349,0.54824,0.54164,0.37821,0.48537,0.53705,0.5277,0.41155,0.87418,1.69956,1.51776,1.3434,0,0.000911469,0.000911469,0.000911469
31,2733.49,0.64661,1.21415,1.34372,1.15612,0,0.53654,0.50604,0.51717,0.3858,0.52746,0.50261,0.50958,0.40402,0.86819,1.72718,1.60053,1.35981,0,0.000905463,0.000905463,0.000905463
32,2819.37,0.65741,1.2278,1.3045,1.15872,0,0.52188,0.47523,0.51774,0.38413,0.51742,0.46997,0.505,0.40813,0.9057,1.76412,1.68293,1.3781,0,0.000899282,0.000899282,0.000899282
33,2906.21,0.65128,1.19082,1.32213,1.15533,0,0.51456,0.4916,0.49477,0.37041,0.52436,0.47821,0.48389,0.38469,0.85189,1.69797,1.66981,1.32019,0,0.000892928,0.000892928,0.000892928
34,2990.16,0.64657,1.22633,1.30323,1.15314,0,0.52731,0.50048,0.48719,0.37725,0.52897,0.50551,0.48675,0.39133,0.82737,1.65611,1.54213,1.29469,0,0.000886404,0.000886404,0.000886404
35,3076.79,0.64598,1.19793,1.29444,1.15777,0,0.5869,0.50596,0.56484,0.40499,0.57738,0.50025,0.55158,0.4245,0.85761,1.69813,1.55805,1.31549,0,0.000879713,0.000879713,0.000879713
36,3163.84,0.64388,1.21722,1.2999,1.14661,0,0.52411,0.50596,0.5226,0.3884,0.5158,0.4987,0.50909,0.3996,0.83339,1.65157,1.54196,1.31128,0,0.000872857,0.000872857,0.000872857
37,3248.96,0.63483,1.20364,1.27932,1.14219,0,0.4936,0.53877,0.54559,0.40089,0.4876,0.53612,0.53479,0.41635,0.86988,1.73058,1.55364,1.33038,0,0.000865839,0.000865839,0.000865839
38,3333.31,0.63135,1.18103,1.24761,1.14164,0,0.62132,0.46043,0.53661,0.40956,0.61587,0.45641,0.52689,0.43075,0.80591,1.6494,1.50312,1.28255,0,0.000858664,0.000858664,0.000858664
39,3419.37,0.63399,1.19421,1.25761,1.1443,0,0.64894,0.53439,0.57054,0.43155,0.63881,0.51068,0.55962,0.455,0.84574,1.59718,1.51173,1.32888,0,0.000851333,0.000851333,0.000851333
40,3506.44,0.62623,1.10372,1.236,1.13775,0,0.42289,0.57951,0.48624,0.36908,0.42165,0.57125,0.47794,0.37968,0.83257,1.64932,1.70682,1.30383,0,0.000843851,0.000843851,0.000843851
41,3594.79,0.62437,1.1844,1.25239,1.14656,0,0.50634,0.57829,0.54353,0.41862,0.51341,0.56706,0.53919,0.42726,0.80195,1.65356,1.48752,1.2879,0,0.00083622,0.00083622,0.00083622
42,3684.92,0.62488,1.19062,1.24433,1.13519,0,0.58356,0.52571,0.54071,0.40438,0.58467,0.52569,0.53235,0.4219,0.7964,1.62315,1.49916,1.25934,0,0.000828443,0.000828443,0.000828443
43,3772.76,0.60477,1.12086,1.21298,1.12099,0,0.5372,0.56087,0.54236,0.41248,0.53821,0.55813,0.53888,0.42583,0.81091,1.6401,1.48191,1.27825,0,0.000820525,0.000820525,0.000820525
44,3860.5,0.59703,1.14599,1.17829,1.12099,0,0.52535,0.51153,0.5138,0.38886,0.52912,0.5156,0.52605,0.4019,0.82981,1.63384,1.58506,1.31579,0,0.000812468,0.000812468,0.000812468
45,3949.25,0.61043,1.17287,1.21796,1.13028,0,0.50253,0.54885,0.51752,0.4036,0.50595,0.5505,0.51629,0.42235,0.79567,1.60887,1.53029,1.28668,0,0.000804277,0.000804277,0.000804277
46,4035.17,0.60383,1.09685,1.19448,1.1308,0,0.55577,0.50987,0.54831,0.40631,0.5479,0.53074,0.54505,0.4311,0.82143,1.59611,1.49419,1.30812,0,0.000795954,0.000795954,0.000795954
47,4119.64,0.59129,1.10157,1.18986,1.11579,0,0.59582,0.49469,0.54693,0.41825,0.57149,0.51188,0.53265,0.43337,0.84199,1.60273,1.51716,1.31375,0,0.000787503,0.000787503,0.000787503
48,4205.62,0.59727,1.12526,1.18158,1.12195,0,0.6279,0.52477,0.57171,0.43112,0.63747,0.51774,0.5632,0.45438,0.80392,1.63242,1.42502,1.29637,0,0.000778929,0.000778929,0.000778929
49,4291.97,0.58169,1.10635,1.16503,1.10719,0,0.59948,0.48983,0.54957,0.42167,0.59766,0.48827,0.54086,0.42903,0.80052,1.60971,1.45006,1.32234,0,0.000770234,0.000770234,0.000770234
50,4378.58,0.58755,1.10468,1.1647,1.11354,0,0.52385,0.56099,0.5554,0.42426,0.51871,0.55653,0.54841,0.4431,0.7874,1.6599,1.41266,1.28532,0,0.000761423,0.000761423,0.000761423
51,4462.76,0.60459,1.12088,1.15164,1.1262,0,0.57252,0.55312,0.56399,0.42069,0.57536,0.55631,0.56457,0.44294,0.77123,1.59024,1.40595,1.25551,0,0.0007525,0.0007525,0.0007525
52,4547.89,0.58331,1.10059,1.14596,1.10482,0,0.56261,0.54255,0.55,0.43302,0.57597,0.54834,0.5593,0.43845,0.79494,1.56859,1.48495,1.29201,0,0.000743468,0.000743468,0.000743468
53,4634.16,0.57935,1.09506,1.11772,1.10519,0,0.51327,0.5785,0.55799,0.4423,0.48411,0.58235,0.55119,0.45787,0.77009,1.56806,1.40817,1.26099,0,0.000734332,0.000734332,0.000734332
